dataset_name,run_mode,feature_set,experiment_name,window_type,scenario_name,method_name,deployable,oracle_type,fallback_used,fallback_type,fallback_reason,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy,module_name
walmart,quick,history_only,context_robustness,all,dataco_median,DP Feasibility,True,none,False,none,none,0.057,20892354.782,106.277,33642.812,0.009,271,4.143,1.029,0.088,0.137,0.053,1.307,0.207,-2.321,4,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Greedy Feasibility,True,none,False,none,none,0.059,21737146.588,114.165,36121.458,0.011,240,4.143,1.07,0.095,0.147,0.047,1.359,0.259,-2.269,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.161,0.0,1.369,0.269,-2.259,8,5,5,operational_loss_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.194,0.0,1.399,0.3,-2.228,7,6,6,simple_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.326,0.0,1.426,0.327,-2.202,3,7,7,global_best_model,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,3.105,0.0,3.628,2.528,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.052,0.355,1.102,0.0,-2.664,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Budgeted DP,True,none,False,none,none,0.058,21046026.983,105.679,33893.868,0.01,130,4.143,1.036,0.088,0.144,0.025,1.294,0.192,-2.472,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,DP Feasibility,True,none,False,none,none,0.057,20892354.782,106.277,33642.812,0.009,271,4.143,1.029,0.088,0.143,0.053,1.313,0.211,-2.452,4,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Greedy Feasibility,True,none,False,none,none,0.059,21737146.588,114.165,36121.458,0.011,240,4.143,1.07,0.095,0.154,0.047,1.366,0.264,-2.4,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.168,0.0,1.376,0.274,-2.39,8,5,5,operational_loss_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.203,0.0,1.408,0.306,-2.357,7,6,6,simple_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.341,0.0,1.441,0.339,-2.325,3,7,7,global_best_model,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_high,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,3.243,0.0,3.765,2.664,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.076,0.355,1.126,0.0,-4.161,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Budgeted DP,True,none,False,none,none,0.058,21046026.983,105.679,33893.868,0.01,130,4.143,1.036,0.088,0.212,0.025,1.361,0.235,-3.926,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,DP Feasibility,True,none,False,none,none,0.057,20892354.782,106.277,33642.812,0.009,271,4.143,1.029,0.088,0.21,0.053,1.38,0.254,-3.907,4,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Greedy Feasibility,True,none,False,none,none,0.059,21737146.588,114.165,36121.458,0.011,240,4.143,1.07,0.095,0.226,0.047,1.438,0.312,-3.849,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.247,0.0,1.455,0.329,-3.832,8,5,5,operational_loss_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.298,0.0,1.503,0.377,-3.784,7,6,6,simple_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.5,0.0,1.6,0.474,-3.687,3,7,7,global_best_model,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_severe,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,4.764,0.0,5.287,4.161,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.011,0.392,1.116,0.0,-0.107,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.05,0.0,1.15,0.034,-0.073,4,7,2,global_best_model,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.03,0.028,1.182,0.065,-0.041,5,3,3,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.03,0.052,1.202,0.086,-0.021,3,2,4,dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,0.677,0.0,1.223,0.107,0.0,1,8,5,oracle_realized_demand,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.032,0.048,1.228,0.112,0.006,6,4,6,greedy_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.033,0.0,1.253,0.137,0.03,8,5,7,operational_loss_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,baseline,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.041,0.0,1.258,0.142,0.036,7,6,8,simple_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.069,0.392,1.174,0.0,-3.671,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.19,0.028,1.342,0.168,-3.503,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.19,0.052,1.361,0.187,-3.483,3,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.2,0.048,1.397,0.223,-3.447,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.318,0.0,1.418,0.243,-3.427,4,7,5,global_best_model,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.208,0.0,1.429,0.254,-3.416,8,5,6,operational_loss_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.258,0.0,1.476,0.301,-3.369,7,6,7,simple_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_low,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,4.299,0.0,4.845,3.671,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.071,0.392,1.176,0.0,-3.784,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.196,0.028,1.347,0.171,-3.613,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.195,0.052,1.366,0.19,-3.594,3,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.206,0.048,1.403,0.227,-3.557,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.326,0.0,1.426,0.25,-3.534,4,7,5,global_best_model,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.214,0.0,1.434,0.258,-3.526,8,5,6,operational_loss_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.265,0.0,1.483,0.306,-3.478,7,6,7,simple_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,4.414,0.0,4.96,3.784,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.074,0.392,1.179,0.0,-3.976,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.204,0.028,1.356,0.177,-3.8,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.203,0.052,1.375,0.196,-3.781,3,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.215,0.048,1.412,0.233,-3.744,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.341,0.0,1.441,0.261,-3.715,4,7,5,global_best_model,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.224,0.0,1.444,0.264,-3.712,8,5,6,operational_loss_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.276,0.0,1.494,0.315,-3.661,7,6,7,simple_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,4.61,0.0,5.156,3.976,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.109,0.392,1.214,0.0,-6.104,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.3,0.028,1.452,0.238,-5.867,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.299,0.052,1.47,0.257,-5.848,3,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.316,0.048,1.513,0.299,-5.806,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.328,0.0,1.549,0.335,-5.77,8,5,5,operational_loss_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.5,0.0,1.6,0.386,-5.718,4,7,6,global_best_model,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.406,0.0,1.624,0.41,-5.694,7,6,7,simple_ensemble,context_robustness
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,6.772,0.0,7.318,6.104,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,7882543.969,100.331,11347.603,0.017,1309,1.949,0.6,0.107,0.017,0.328,1.052,0.0,-0.101,2,1,1,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,4115833.731,194.115,422645.826,0.123,0,5.459,0.313,0.207,0.632,0.0,1.152,0.101,0.0,1,8,2,oracle_realized_demand,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Budgeted DP,True,none,False,none,none,0.058,13550293.578,76.851,32374.772,0.011,102,4.143,1.031,0.082,0.048,0.026,1.187,0.135,0.035,5,4,3,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Global Best,True,none,False,none,none,0.057,13141862.485,93.868,66845.875,0.036,0,3.912,1.0,0.1,0.1,0.0,1.2,0.148,0.048,3,7,4,global_best_model,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,DP Feasibility,True,none,False,none,none,0.057,13405197.135,77.169,32123.493,0.009,213,4.143,1.02,0.082,0.048,0.053,1.204,0.152,0.051,4,3,5,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Operational Ensemble,True,none,False,none,none,0.061,14722668.539,69.087,30977.986,0.021,0,3.119,1.12,0.074,0.046,0.0,1.24,0.188,0.088,8,2,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Simple Ensemble,True,none,False,none,none,0.06,14487117.04,81.613,35526.693,0.026,0,3.439,1.102,0.087,0.053,0.0,1.242,0.191,0.09,7,6,7,simple_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Greedy Feasibility,True,none,False,none,none,0.059,14063617.514,83.588,34606.282,0.013,186,4.143,1.07,0.089,0.052,0.047,1.258,0.206,0.105,6,5,8,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Budgeted DP,True,none,False,none,none,0.071,2526532.541,9.084,165.498,0.005,9,1.542,1.049,0.109,0.003,0.026,1.186,-0.046,-2.988,5,2,1,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Global Best,True,none,False,none,none,0.069,2409172.941,8.35,5554.443,0.015,0,0.596,1.0,0.1,0.1,0.0,1.2,-0.032,-2.974,3,7,2,global_best_model,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Greedy Feasibility,True,none,False,none,none,0.071,2544462.226,9.379,165.498,0.005,16,1.542,1.056,0.112,0.003,0.046,1.217,-0.015,-2.957,6,2,3,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,DP Feasibility,True,none,False,none,none,0.071,2538515.091,8.972,165.498,0.005,19,1.542,1.054,0.107,0.003,0.054,1.218,-0.014,-2.955,4,2,4,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.049,1498825.205,12.5,6.693,0.015,161,0.305,0.622,0.15,0.0,0.46,1.232,0.0,-2.942,2,1,5,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Operational Ensemble,True,none,False,none,none,0.075,2898220.998,6.271,3248.052,0.02,0,0.5,1.203,0.075,0.058,0.0,1.337,0.105,-2.837,7,5,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Simple Ensemble,True,none,False,none,none,0.076,2913711.016,7.524,3985.786,0.02,0,0.571,1.209,0.09,0.072,0.0,1.371,0.139,-2.802,8,6,7,simple_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,471152.918,29.455,201373.427,0.197,0,2.337,0.196,0.353,3.625,0.0,4.174,2.942,0.0,1,8,8,oracle_realized_demand,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.034,2810027.581,22.737,769.532,0.006,373,1.363,0.537,0.116,0.01,0.46,1.124,0.0,-1.258,2,1,1,oracle_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Global Best,True,none,False,none,none,0.053,5230508.992,19.574,7686.896,0.02,0,1.363,1.0,0.1,0.1,0.0,1.2,0.076,-1.181,3,6,2,global_best_model,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Budgeted DP,True,none,False,none,none,0.054,5489217.13,22.25,1519.096,0.009,21,2.383,1.049,0.114,0.02,0.026,1.209,0.085,-1.173,5,3,3,budgeted_dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,DP Feasibility,True,none,False,none,none,0.054,5473900.394,22.601,1519.319,0.011,41,2.383,1.047,0.115,0.02,0.051,1.232,0.108,-1.149,4,4,4,dp_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Greedy Feasibility,True,none,False,none,none,0.055,5666680.051,23.674,1515.175,0.009,40,2.383,1.083,0.121,0.02,0.049,1.273,0.15,-1.108,7,2,5,greedy_feasibility_selector,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Operational Ensemble,True,none,False,none,none,0.055,5902660.054,16.391,5420.401,0.017,0,1.681,1.129,0.084,0.071,0.0,1.283,0.159,-1.099,8,5,6,operational_loss_ensemble,holiday_markdown_stress
walmart,quick,history_only,holiday_markdown_stress,markdown_heavy,baseline,Simple Ensemble,True,none,False,none,none,0.055,5813318.384,19.62,8289.496,0.02,0,1.781,1.111,0.1,0.108,0.0,1.319,0.196,-1.062,6,7,7,simple_ensemble,holiday_markdown_stress
